item,pattern_family,seed_list,premium_band,scan_priority,notes,sources
"AK-47 | Case Hardened","Blue Gem Tier 1","661;151;955;321;387;670;179","extreme","A","Классический blue-gem benchmark. Даже без ценового фильтра это один из главных паттернов для контроля misprice.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://www.steamanalyst.com/guides/blue-gem"
"AWP | PAW","Gold Grenade","429;926;954","medium","B","Второй эшелон PAW patterns, collector premium есть, но спрос уже уже.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://profilerr.net/awp-paw-golden-cat-patterns/"
"AWP | PAW","Cat Knife","212;369;628;737","medium","B","Нишевая, но известная вариация.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://profilerr.net/awp-paw-golden-cat-patterns/"
"AWP | PAW","Gas Mask","29;97;685;900","medium","B","Pattern premium реальный, но более niche, чем Gold Cat.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://profilerr.net/awp-paw-golden-cat-patterns/"
"Glock-18 | Moonrise","Centered Star","19;109;142;165;194;237;302;403;475;487;509;800;958","medium","B","Не самый большой premium, но сиды известны и underpricing бывает.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://csdb.gg/all-cs2-rare-skin-patterns-full-list"
"Glock-18 | Grinder","Full Black","916;384;811","medium","B","Black pattern — старый и узнаваемый collector niche.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=2798715793"
"Glock-18 | Reactor","Teeth Pattern","281","low-medium","C","Скорее niche collector entry, но паттерн достаточно явный.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=2602936223"
"Glock-18 | Red Tire","Rush B Pattern","620","low-medium","C","Узкий niche, но pattern очень дешёвый по базе и удобен для теста поиска misprice.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Glock-18 | High Beam","Full Beam","897","low-medium","C","Слабее, чем Grinder/Moonrise, но pattern guide существует.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"USP-S | Alpine Camo","Blue Gem","674;490;704","medium-high","A","Один из лучших современных ordinary-skin blue-gem кейсов.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=3353615892"
"P2000 | Acid Etched","Full Shamrock","326","low-medium","C","Небольшой premium, но точечный and recognisable.","https://steamcommunity.com/sharedfiles/filedetails/?id=2602936223"
"P250 | Bengal Tiger","Max Orange","55;204;217;227;268;277;460;654;714;760;778","medium","B","Не mainstream, но визуально понятный premium case.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"P250 | Bengal Tiger","Max White","34;159;539;623;677;715;811","medium","B","Вторая ценимая вариация Bengal Tiger.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"P250 | Nevermore","Centered Raven","73;127;708;923","medium-high","A","Хороший pattern-case с понятным Tier 1 и collector спросом.","https://steamcommunity.com/sharedfiles/filedetails/?id=3531978335 ; https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"P250 | Crimson Kimono","Max Red Top","20","medium","B","Нишевая, но очень явная pattern-версия.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=2602936223"
"P250 | Mint Kimono","Max Green Handle","2;9;32;37;72;81;90;97","medium","B","Есть несколько recognisable sub-variants, все collector/niche.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"P250 | Mint Kimono","Green Tip","12;17;60;66;70;74;76;83;86;100;104","medium","B","Ниша, но паттерны формализованы в гайде.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"P250 | Mint Kimono","Max Black and White","24;43;54;64;65","medium","B","Ещё один niche sub-pattern на Mint Kimono.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Five-SeveN | Neon Kimono","Max Green","452","medium","B","Pattern редкий и хорошо узнаётся на скрине.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Five-SeveN | Neon Kimono","Max White","442","medium","B","Спрос уже уже, чем на max green.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Five-SeveN | Berries And Cherries","Max Blue","449;73","medium","B","Новее и пока не самый насыщенный рынок, но сиды уже известны.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Five-SeveN | Berries And Cherries","Max Red","182;60","medium","B","Синяя/красная вариации обе ловят небольшой collector premium.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Tec-9 | Sandstorm","Max Purple","70;328;862;583;552;696;705;86;83;271;654;858;911;572;487;296;460","medium","A","Старый and still useful pattern-market. Хороший cheap-scan candidate.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://cs.money/blog/cs-go-skins/rare-cool-skin-patterns/"
"Tec-9 | Ice Cap","Max Blue","146;261;760;910;916;774","medium","A","Очень практичный дешёвый scan-case.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=3043297207"
"Tec-9 | Cracked Opal","Manual visual candidate","519;583","low","C","Low-confidence row: pattern.wiki позволяет проверить seed визуально, но сильного source-backed market consensus я не нашёл. Добавлено как ручной candidate из niche community chatter.","https://pattern.wiki/skin/cu_tec9_cracked_opal/weapon_tec9/519 ; https://pattern.wiki/skin/cu_tec9_cracked_opal/weapon_tec9/583"
"Sawed-Off | Brake Light","Hot Rod / Full Red","22;29","medium","B","Довольно дешёвый pattern, но hot-rod look может давать premium.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"XM1014 | Elegant Vines","Centered Rose","827","low-medium","C","Узкий niche, но цветок легко узнаётся.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"XM1014 | Seasons","Spectrum Fade / Blue Leaf","26;78;115;130;182;234;286;334;338;390;442;494;546;598;605;650;659;698;955","medium-high","A","Один из лучших ordinary-skin pattern cases для поиска mispricing.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=1890477929"
"XM1014 | XOXO","Max Pink","443;372;218;16;51","medium","B","Pattern niche, но вполне формализован.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"XM1014 | Ziggy","Max Purple","703;399","low-medium","C","Более слабый premium, чем у Seasons/XOXO.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Nova | Windblown","Bird on Barrel","780;887;126","low","C","Скорее мемный than liquid case.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"MAG-7 | Sonar","Max Cyan","412","low","C","Редкий, но узкий collector case.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"MAC-10 | Last Dive","Centered Skull","386","medium","B","У Last Dive несколько collector layouts; centered skull — один из лучших.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=2602936223"
"MAC-10 | Last Dive","Skull and Diver","407","medium","B","Pattern заметный, но ликвидность ниже, чем у centered skull.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"MAC-10 | Last Dive","Skull Diver and Shell","509","medium","B","Топовая сложная композиция у Last Dive.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"MAC-10 | Last Dive","Centered Tree","748","low-medium","C","Менее mainstream sub-pattern.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"UMP-45 | Minotaur's Labyrinth","Centered Minotaur","272;9","medium","B","Collector niche с понятным мотивом.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Galil AR | Phoenix Blacklight","Centered Phoenix","775;963;619;978;432;419;289;729","medium-high","A","Один из лучших современных rifle-pattern cases для Steam scan.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://cs.money/blog/cs-go-skins/the-most-interesting-phoenix-blacklight-patterns/"
"Galil AR | Caution","Falling Man Back","93;147","low-medium","C","Нишевая история, но паттерн читаемый.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Galil AR | Caution","Falling Man Grip","614","low-medium","C","Ещё одна visually distinct вариация.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Galil AR | Caution","Centered Text","58","low-medium","C","Слабее, но всё равно documented rare pattern.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Galil AR | Sandstorm","Max Purple","761;583","medium","B","Один из более известных старых rifle-pattern кейсов.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=2602936223"
"Galil AR | Sandstorm","Max Sand","555;449","low-medium","C","Спрос слабее purple variant, но pattern известен.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=2602936223"
"Galil AR | Crimson Tsunami","Max Waves","22","low-medium","C","Узкая collector-история, но documented.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"M4A4 | Daybreak","Centered Sun","2;18;28;43;52;68;71;74;111;129;133;154;155;157;180;213;274;293;297;301;303;306;328;330;370;399;408;412;452;456;461;479;497;527;561;571;611;618;635;686;745;746;753;760;775;789;808;821;852;871;893;908;943;965;979;996","medium-high","A","Очень старый и известный centered-sun pattern market.","https://steamcommunity.com/sharedfiles/filedetails/?id=3523208397 ; https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"AWP | Electric Hive","Max Orange","253;54;767;611;697;42;894;354;835;117;540;384;143;96;376","medium","A","Orange/Blue pattern market жив давно; max orange — один из core patterns.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=878908361"
"AWP | Electric Hive","Max Blue","273;436;902;23;853;262;185;598;851;385;138","medium-high","A","Max blue обычно интереснее именно для pattern-sniping.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488 ; https://steamcommunity.com/sharedfiles/filedetails/?id=878908361"
"Stiletto Knife | Scorched","Black Gem","543;791;980","high","B","Не mainstream, но no-price-cap режиме это уже важный niche.","https://steamcommunity.com/sharedfiles/filedetails/?id=3613249488"
"Desert Eagle | Heat Treated","Blue Gem Top","490;148;69;704","very high","A","Один из самых шумных, но и самых заметных современных pattern markets.","https://steamcommunity.com/sharedfiles/filedetails/?id=3464548304 ; https://steamcommunity.com/sharedfiles/filedetails/?id=3385225090"
"Karambit | Fade","Full Fade 100%","16;129;146;152;241;281;292;332;344;359;393;412;541;602;628;649;673;688;701;743;777;792;918;994","extreme","A","Full Fade/90-10 market для Karambit — один из самых ликвидных и дорогих.","https://steamcommunity.com/sharedfiles/filedetails/?id=3217178645 ; https://steamcommunity.com/sharedfiles/filedetails/?id=2875620478"
"Talon Knife | Fade","Full Fade 100%","16;129;146;152;241;281;292;332;344;359;393;412;541;602;628;649;673;688;701;743;777;792;918;994","very high","A","Те же 100% seeds, что и у Karambit, но свой рынок и своё ценообразование.","https://steamcommunity.com/sharedfiles/filedetails/?id=3217542390 ; https://steamcommunity.com/sharedfiles/filedetails/?id=2875620478"
"Butterfly Knife | Fade","Fullest Fade 100%","41;87;93;205;326;341;348;403;468;520;527;575;583;601;636;651;742;763;807;892;897;910;911;961","extreme","A","Butterfly full fade — один из самых торгуемых high-end pattern plays.","https://steamcommunity.com/sharedfiles/filedetails/?id=3217528899"
"Classic Knife | Fade","Full Fade 100%","41;87;93;205;326;341;348;403;468;520;527;575;583;601;636;651;742;763;807;892;897;910;911;961","very high","B","Здесь и дальше seed-list общий для целой группы knives с Fade.","https://steamcommunity.com/sharedfiles/filedetails/?id=3220490490"
"Nomad Knife | Fade","Full Fade 100%","41;87;93;205;326;341;348;403;468;520;527;575;583;601;636;651;742;763;807;892;897;910;911;961","very high","B","Top seeds documented и достаточно популярны у Fade-коллекционеров.","https://steamcommunity.com/sharedfiles/filedetails/?id=3220460350"
"Ursus Knife | Fade","Full Fade 100%","41;87;93;205;326;341;348;403;468;520;527;575;583;601;636;651;742;763;807;892;897;910;911;961","very high","B","Ursus full fade documented explicitly с 100%/99% differentiation.","https://steamcommunity.com/sharedfiles/filedetails/?id=3220436083"
"Shadow Daggers | Fade","Full Fade 100%","41;87;93;205;326;341;348;403;468;520;527;550;575;583;601;636;651;742;763;807;892;897;910;911;961","high","B","Даже на daggers full fade seeds торгуются выше базы.","https://steamcommunity.com/sharedfiles/filedetails/?id=3226847482"
"Paracord Knife | Fade","Full Fade 100%","41;87;93;205;326;341;348;403;468;520;527;575;583;601;636;651;742;763;807;892;897;910;911;961","high","B","Премия есть, но ликвидность уже уже, чем у bfk/kara.","https://steamcommunity.com/sharedfiles/filedetails/?id=3220446331"
"Stiletto Knife | Fade","Full Fade 100%","41;87;93;205;326;341;348;403;468;520;527;575;583;601;636;651;742;763;807;892;897;910;911;961","high","B","Stiletto full fade — pattern-visible и market-documented case.","https://steamcommunity.com/sharedfiles/filedetails/?id=3220469860"
"Karambit | Marble Fade","Fire & Ice","412;16;146;241;359;393;541;602;649;688;701;152;281;292;344;628;673;743;777;792;994","extreme","A","Max F&I tiers — huge premium. Здесь указан пул 1st-3rd max для практического скана.","https://steamcommunity.com/sharedfiles/filedetails/?id=3527917070 ; https://steamcommunity.com/sharedfiles/filedetails/?id=3527933963 ; https://steamcommunity.com/sharedfiles/filedetails/?id=3527846240"
"Bayonet | Marble Fade","Fire & Ice","412;16;146;241;359;393;541;602;649;688;701;152;281;292;344;628;673;743;777;792;994","very high","A","Тот же core F&I pool; у Bayonet рынок поменьше, но premium всё ещё очень высокий.","https://steamcommunity.com/sharedfiles/filedetails/?id=3527933963"
"Flip Knife | Marble Fade","Fire & Ice","412;16;146;241;359;393;541;602;649;688;701;152;281;292;344;628;673;743;777;792;994","very high","A","Flip F&I historically very recognisable. #412 — 1st Max.","https://steamcommunity.com/sharedfiles/filedetails/?id=3527846240"
"Talon Knife | Marble Fade","Fire & Ice","412;16;146;241;359;393;541;602;649;688;701;152;281;292;344;628;673;743;777;792;994","very high","A","Talon F&I тоже документирован теми же max tiers.","https://steamcommunity.com/sharedfiles/filedetails/?id=3527966448"
"Butterfly Knife | Gamma Doppler Emerald / Doppler Ruby / Doppler Sapphire","Max Gem Patterns","602;72;241;807;704;468;576;503;664;888;874;374","extreme","A","Guide прямо говорит, что Emerald shares pattern logic with Ruby/Sapphire. Здесь high-tier pool, а не полный Rank I список.","https://steamcommunity.com/sharedfiles/filedetails/?id=3447692923 ; https://steamcommunity.com/sharedfiles/filedetails?id=3447694633"
"M9 Bayonet | Gamma Doppler Emerald / Doppler Ruby / Doppler Sapphire","Max Gem Patterns","609;965;344;671","extreme","A","Rank I seeds для M9 Emerald, при этом guide указывает ту же seed logic для Ruby/Sapphire.","https://steamcommunity.com/sharedfiles/filedetails/?id=3558199636"
"Karambit | Doppler Black Pearl / Doppler Ruby / Doppler Sapphire / Gamma Doppler Emerald","Max Gem Patterns","610;425;311;315;88;113;190;630;972;899;785;102;209;767;907;98;746;42;954;962","extreme","A","Для Karambit guide прямо связывает Black Pearl с теми же pattern seeds, что у Ruby/Sapphire/Emerald. Здесь Rank I pool.","https://steamcommunity.com/sharedfiles/filedetails/?id=3329944825 ; https://steamcommunity.com/sharedfiles/filedetails/?id=3439399642"
"Glock-18 | Gamma Doppler Emerald","High Tier","452;534;152;391;456;581;16;17;92;100;113;242;268;282;288;362;408;416;446;500;505;509;910;911;961","very high","A","Не нож, но дорогой и вполне pattern-sensitive market. Сначала проверять High Tier и Rank I.","https://steamcommunity.com/sharedfiles/filedetails/?id=3534967014"
